financial_year,financial_year_start,Disposal,International Export,Interstate Export,processed_locally_including_wte,Total Generation,recovery_rate_pct,disposal_rate_pct,export_rate_pct
2015-2016,2015,185332.261765,49979.0,0,24744.6,260055.861765,9.52,71.27,19.22
2016-2017,2016,188218.424124,53798.0,0,682.4,242698.824124,0.28,77.55,22.17
2017-2018,2017,203236.190366,55774.0,0,0.0,259010.190366,0.0,78.47,21.53
2018-2019,2018,211940.974274,60250.0,0,17461.625,289652.599274,6.03,73.17,20.8
2019-2020,2019,224977.650507,51162.0,32,15640.375,291812.025507,5.36,77.1,17.54
2020-2021,2020,223311.432578,50279.0,0,15213.875,288804.3075779999,5.27,77.32,17.41
2021-2022,2021,216438.983253,56412.0,13,2097.0,274960.983253,0.76,78.72,20.52
2022-2023,2022,216581.375467,64572.0,56,2129.4,283338.775467,0.75,76.44,22.81
2023-2024,2023,207123.262792,70962.41572,100,2200.2,280385.878512,0.78,73.87,25.34
